調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
2016年度,滋賀県 栗東市,***,2391,***,***,***,***
2016年度,滋賀県 甲賀市,***,2209,***,***,***,***
2016年度,滋賀県 野洲市,***,899,***,***,***,***
2016年度,滋賀県 湖南市,***,561,***,***,***,***
2016年度,滋賀県 高島市,***,843,***,***,***,***
2016年度,滋賀県 東近江市,***,1340,***,***,***,***
2016年度,滋賀県 米原市,***,343,***,***,***,***
2016年度,京都府 京都市,***,26994,***,***,***,***
2016年度,京都府 福知山市,***,1349,***,***,***,***
2016年度,京都府 舞鶴市,***,1364,***,***,***,***
2016年度,京都府 綾部市,***,676,***,***,***,***
