調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
1980年度,愛知県 高浜市,***,***,***,10470,***,***
1980年度,愛知県 岩倉市,***,***,***,8465,***,***
1980年度,愛知県 豊明市,***,***,***,11222,***,***
1980年度,愛知県 日進市,***,***,***,7467,***,***
1980年度,愛知県 田原市,***,***,***,30766,***,***
1980年度,愛知県 愛西市,***,***,***,15377,***,***
1980年度,愛知県 清須市,***,***,***,13909,***,***
1980年度,愛知県 北名古屋市,***,***,***,15150,***,***
1980年度,愛知県 弥富市,***,***,***,9560,***,***
1980年度,愛知県 みよし市,***,***,***,8265,***,***
1980年度,愛知県 あま市,***,***,***,14823,***,***
1980年度,愛知県 長久手市,***,***,***,3389,***,***
1980年度,三重県 津市,***,***,***,87795,***,***
1980年度,三重県 四日市市,***,***,***,104691,***,***
1980年度,三重県 伊勢市,***,***,***,47205,***,***
1980年度,三重県 松阪市,***,***,***,56506,***,***
1980年度,三重県 桑名市,***,***,***,34293,***,***
1980年度,三重県 鈴鹿市,***,***,***,53904,***,***
1980年度,三重県 名張市,***,***,***,13133,***,***
1980年度,三重県 尾鷲市,***,***,***,13494,***,***
1980年度,三重県 亀山市,***,***,***,13683,***,***
1980年度,三重県 鳥羽市,***,***,***,12730,***,***
1980年度,三重県 熊野市,***,***,***,11046,***,***
1980年度,三重県 いなべ市,***,***,***,12420,***,***
1980年度,三重県 志摩市,***,***,***,26010,***,***
1980年度,三重県 伊賀市,***,***,***,38436,***,***
1980年度,滋賀県 大津市,***,***,***,70756,***,***
1980年度,滋賀県 彦根市,***,***,***,34101,***,***
1980年度,滋賀県 長浜市,***,***,***,40779,***,***
1980年度,滋賀県 近江八幡市,***,***,***,18392,***,***
1980年度,滋賀県 草津市,***,***,***,18680,***,***
1980年度,滋賀県 守山市,***,***,***,13040,***,***
1980年度,滋賀県 栗東市,***,***,***,10620,***,***
1980年度,滋賀県 甲賀市,***,***,***,26212,***,***
1980年度,滋賀県 野洲市,***,***,***,9097,***,***
1980年度,滋賀県 湖南市,***,***,***,9526,***,***
1980年度,滋賀県 高島市,***,***,***,21329,***,***
1980年度,滋賀県 東近江市,***,***,***,31839,***,***
1980年度,滋賀県 米原市,***,***,***,11966,***,***
1980年度,京都府 京都市,***,***,***,374515,***,***
1980年度,京都府 福知山市,***,***,***,38637,***,***
1980年度,京都府 舞鶴市,***,***,***,46241,***,***
1980年度,京都府 綾部市,***,***,***,20936,***,***
1980年度,京都府 宇治市,***,***,***,31154,***,***
1980年度,京都府 宮津市,***,***,***,13533,***,***
1980年度,京都府 亀岡市,***,***,***,18836,***,***
1980年度,京都府 城陽市,***,***,***,11195,***,***
1980年度,京都府 向日市,***,***,***,6952,***,***
1980年度,京都府 長岡京市,***,***,***,12730,***,***
1980年度,京都府 八幡市,***,***,***,8114,***,***
1980年度,京都府 京田辺市,***,***,***,6323,***,***
1980年度,京都府 京丹後市,***,***,***,35958,***,***
1980年度,京都府 南丹市,***,***,***,13270,***,***
1980年度,京都府 木津川市,***,***,***,8082,***,***
1980年度,大阪府 大阪市,***,***,***,667164,***,***
1980年度,大阪府 堺市,***,***,***,200923,***,***
1980年度,大阪府 岸和田市,***,***,***,48208,***,***
1980年度,大阪府 豊中市,***,***,***,72953,***,***
1980年度,大阪府 池田市,***,***,***,18270,***,***
1980年度,大阪府 吹田市,***,***,***,50288,***,***
1980年度,大阪府 泉大津市,***,***,***,17004,***,***
1980年度,大阪府 高槻市,***,***,***,58168,***,***
1980年度,大阪府 貝塚市,***,***,***,21831,***,***
1980年度,大阪府 守口市,***,***,***,41190,***,***
1980年度,大阪府 枚方市,***,***,***,61247,***,***
1980年度,大阪府 茨木市,***,***,***,44720,***,***
1980年度,大阪府 八尾市,***,***,***,61153,***,***
1980年度,大阪府 泉佐野市,***,***,***,26323,***,***
1980年度,大阪府 富田林市,***,***,***,16332,***,***
1980年度,大阪府 寝屋川市,***,***,***,46295,***,***
1980年度,大阪府 河内長野市,***,***,***,12823,***,***
1980年度,大阪府 松原市,***,***,***,23174,***,***
1980年度,大阪府 大東市,***,***,***,25452,***,***
1980年度,大阪府 和泉市,***,***,***,27245,***,***
1980年度,大阪府 箕面市,***,***,***,13153,***,***
1980年度,大阪府 柏原市,***,***,***,13262,***,***
1980年度,大阪府 羽曳野市,***,***,***,15217,***,***
1980年度,大阪府 門真市,***,***,***,31524,***,***
1980年度,大阪府 摂津市,***,***,***,15470,***,***
1980年度,大阪府 高石市,***,***,***,10700,***,***
1980年度,大阪府 藤井寺市,***,***,***,9231,***,***
1980年度,大阪府 東大阪市,***,***,***,151223,***,***
1980年度,大阪府 泉南市,***,***,***,12392,***,***
1980年度,大阪府 四條畷市,***,***,***,7625,***,***
1980年度,大阪府 交野市,***,***,***,8306,***,***
1980年度,大阪府 大阪狭山市,***,***,***,5319,***,***
1980年度,大阪府 阪南市,***,***,***,8332,***,***
1980年度,兵庫県 神戸市,***,***,***,259357,***,***
1980年度,兵庫県 姫路市,***,***,***,184052,***,***
1980年度,兵庫県 尼崎市,***,***,***,145531,***,***
1980年度,兵庫県 明石市,***,***,***,56375,***,***
1980年度,兵庫県 西宮市,***,***,***,73034,***,***
1980年度,兵庫県 洲本市,***,***,***,25069,***,***
1980年度,兵庫県 芦屋市,***,***,***,8988,***,***
1980年度,兵庫県 伊丹市,***,***,***,41236,***,***
1980年度,兵庫県 相生市,***,***,***,13832,***,***
1980年度,兵庫県 豊岡市,***,***,***,43928,***,***
1980年度,兵庫県 加古川市,***,***,***,53873,***,***
1980年度,兵庫県 赤穂市,***,***,***,18061,***,***
1980年度,兵庫県 西脇市,***,***,***,19477,***,***
1980年度,兵庫県 宝塚市,***,***,***,24998,***,***
1980年度,兵庫県 三木市,***,***,***,22754,***,***
1980年度,兵庫県 高砂市,***,***,***,22605,***,***
1980年度,兵庫県 川西市,***,***,***,17511,***,***
1980年度,兵庫県 小野市,***,***,***,15324,***,***
1980年度,兵庫県 三田市,***,***,***,12240,***,***
1980年度,兵庫県 加西市,***,***,***,19513,***,***
1980年度,兵庫県 丹波篠山市,***,***,***,16608,***,***
1980年度,兵庫県 養父市,***,***,***,14331,***,***
1980年度,兵庫県 丹波市,***,***,***,29395,***,***
1980年度,兵庫県 南あわじ市,***,***,***,26728,***,***
1980年度,兵庫県 朝来市,***,***,***,14669,***,***
1980年度,兵庫県 淡路市,***,***,***,22971,***,***
1980年度,兵庫県 宍粟市,***,***,***,18656,***,***
1980年度,兵庫県 加東市,***,***,***,11962,***,***
1980年度,兵庫県 たつの市,***,***,***,21313,***,***
1980年度,奈良県 奈良市,***,***,***,67688,***,***
1980年度,奈良県 大和高田市,***,***,***,15950,***,***
1980年度,奈良県 大和郡山市,***,***,***,18395,***,***
1980年度,奈良県 天理市,***,***,***,19999,***,***
1980年度,奈良県 橿原市,***,***,***,20976,***,***
1980年度,奈良県 桜井市,***,***,***,15557,***,***
1980年度,奈良県 五條市,***,***,***,14680,***,***
1980年度,奈良県 御所市,***,***,***,10604,***,***
1980年度,奈良県 生駒市,***,***,***,8038,***,***
1980年度,奈良県 香芝市,***,***,***,6231,***,***
1980年度,奈良県 葛城市,***,***,***,6369,***,***
1980年度,奈良県 宇陀市,***,***,***,11414,***,***
1980年度,和歌山県 和歌山市,***,***,***,166892,***,***
1980年度,和歌山県 海南市,***,***,***,24863,***,***
1980年度,和歌山県 橋本市,***,***,***,16904,***,***
1980年度,和歌山県 有田市,***,***,***,13066,***,***
1980年度,和歌山県 御坊市,***,***,***,11940,***,***
1980年度,和歌山県 田辺市,***,***,***,36044,***,***
1980年度,和歌山県 新宮市,***,***,***,16356,***,***
1980年度,和歌山県 紀の川市,***,***,***,20258,***,***
1980年度,和歌山県 岩出市,***,***,***,5414,***,***
1980年度,鳥取県 鳥取市,***,***,***,81449,***,***
1980年度,鳥取県 米子市,***,***,***,61457,***,***
1980年度,鳥取県 倉吉市,***,***,***,26733,***,***
1980年度,鳥取県 境港市,***,***,***,15318,***,***
1980年度,島根県 松江市,***,***,***,81425,***,***
1980年度,島根県 浜田市,***,***,***,35145,***,***
1980年度,島根県 出雲市,***,***,***,69288,***,***
1980年度,島根県 益田市,***,***,***,30354,***,***
1980年度,島根県 大田市,***,***,***,23607,***,***
1980年度,島根県 安来市,***,***,***,21996,***,***
1980年度,島根県 江津市,***,***,***,14135,***,***
1980年度,島根県 雲南市,***,***,***,21964,***,***
1980年度,岡山県 岡山市,***,***,***,255989,***,***
1980年度,岡山県 倉敷市,***,***,***,179430,***,***
1980年度,岡山県 津山市,***,***,***,46538,***,***
1980年度,岡山県 玉野市,***,***,***,31154,***,***
1980年度,岡山県 笠岡市,***,***,***,21279,***,***
1980年度,岡山県 井原市,***,***,***,21756,***,***
1980年度,岡山県 総社市,***,***,***,19169,***,***
1980年度,岡山県 高梁市,***,***,***,21836,***,***
1980年度,岡山県 新見市,***,***,***,21400,***,***
1980年度,岡山県 備前市,***,***,***,18473,***,***
1980年度,岡山県 瀬戸内市,***,***,***,11575,***,***
1980年度,岡山県 赤磐市,***,***,***,10470,***,***
1980年度,岡山県 真庭市,***,***,***,29129,***,***
1980年度,岡山県 美作市,***,***,***,16101,***,***
1980年度,岡山県 浅口市,***,***,***,9577,***,***
1980年度,広島県 広島市,***,***,***,253800,***,***
1980年度,広島県 呉市,***,***,***,112740,***,***
1980年度,広島県 竹原市,***,***,***,14680,***,***
1980年度,広島県 三原市,***,***,***,45577,***,***
1980年度,広島県 尾道市,***,***,***,69997,***,***
1980年度,広島県 福山市,***,***,***,178167,***,***
1980年度,広島県 府中市,***,***,***,26232,***,***
1980年度,広島県 三次市,***,***,***,31111,***,***
1980年度,広島県 庄原市,***,***,***,28356,***,***
1980年度,広島県 大竹市,***,***,***,11392,***,***
1980年度,広島県 東広島市,***,***,***,45022,***,***
1980年度,広島県 廿日市市,***,***,***,20317,***,***
1980年度,広島県 安芸高田市,***,***,***,16362,***,***
1980年度,広島県 江田島市,***,***,***,14831,***,***
1980年度,山口県 下関市,***,***,***,135249,***,***
1980年度,山口県 宇部市,***,***,***,74573,***,***
1980年度,山口県 山口市,***,***,***,69781,***,***
1980年度,山口県 萩市,***,***,***,34425,***,***
1980年度,山口県 防府市,***,***,***,46209,***,***
1980年度,山口県 下松市,***,***,***,18844,***,***
1980年度,山口県 岩国市,***,***,***,62876,***,***
1980年度,山口県 光市,***,***,***,18975,***,***
1980年度,山口県 長門市,***,***,***,22112,***,***
1980年度,山口県 柳井市,***,***,***,16190,***,***
1980年度,山口県 美祢市,***,***,***,17156,***,***
1980年度,山口県 周南市,***,***,***,60974,***,***
1980年度,山口県 山陽小野田市,***,***,***,22071,***,***
1980年度,徳島県 徳島市,***,***,***,109379,***,***
1980年度,徳島県 鳴門市,***,***,***,26502,***,***
1980年度,徳島県 小松島市,***,***,***,15609,***,***
1980年度,徳島県 阿南市,***,***,***,33327,***,***
1980年度,徳島県 吉野川市,***,***,***,16105,***,***
1980年度,徳島県 阿波市,***,***,***,16789,***,***
1980年度,徳島県 美馬市,***,***,***,15893,***,***
1980年度,徳島県 三好市,***,***,***,19351,***,***
1980年度,香川県 高松市,***,***,***,163110,***,***
1980年度,香川県 丸亀市,***,***,***,33013,***,***
1980年度,香川県 坂出市,***,***,***,25502,***,***
1980年度,香川県 善通寺市,***,***,***,12898,***,***
1980年度,香川県 観音寺市,***,***,***,28889,***,***
1980年度,香川県 さぬき市,***,***,***,17888,***,***
1980年度,香川県 東かがわ市,***,***,***,17408,***,***
1980年度,香川県 三豊市,***,***,***,27398,***,***
1980年度,愛媛県 松山市,***,***,***,187079,***,***
1980年度,愛媛県 今治市,***,***,***,83523,***,***
1980年度,愛媛県 宇和島市,***,***,***,50748,***,***
1980年度,愛媛県 八幡浜市,***,***,***,23904,***,***
1980年度,愛媛県 新居浜市,***,***,***,54737,***,***
1980年度,愛媛県 西条市,***,***,***,42312,***,***
1980年度,愛媛県 大洲市,***,***,***,26477,***,***
1980年度,愛媛県 伊予市,***,***,***,15723,***,***
1980年度,愛媛県 四国中央市,***,***,***,38847,***,***
1980年度,愛媛県 西予市,***,***,***,26650,***,***
1980年度,愛媛県 東温市,***,***,***,8913,***,***
1980年度,高知県 高知市,***,***,***,143441,***,***
1980年度,高知県 室戸市,***,***,***,10340,***,***
1980年度,高知県 安芸市,***,***,***,11867,***,***
1980年度,高知県 南国市,***,***,***,16315,***,***
1980年度,高知県 土佐市,***,***,***,13187,***,***
1980年度,高知県 須崎市,***,***,***,14863,***,***
1980年度,高知県 宿毛市,***,***,***,12247,***,***
1980年度,高知県 土佐清水市,***,***,***,10246,***,***
1980年度,高知県 四万十市,***,***,***,19720,***,***
1980年度,高知県 香南市,***,***,***,10144,***,***
1980年度,高知県 香美市,***,***,***,13738,***,***
1980年度,福岡県 北九州市,***,***,***,305640,***,***
1980年度,福岡県 福岡市,***,***,***,277014,***,***
1980年度,福岡県 大牟田市,***,***,***,60182,***,***
1980年度,福岡県 久留米市,***,***,***,101313,***,***
1980年度,福岡県 直方市,***,***,***,20370,***,***
1980年度,福岡県 飯塚市,***,***,***,39572,***,***
1980年度,福岡県 田川市,***,***,***,22635,***,***
1980年度,福岡県 柳川市,***,***,***,25853,***,***
1980年度,福岡県 八女市,***,***,***,34170,***,***
1980年度,福岡県 筑後市,***,***,***,14280,***,***
1980年度,福岡県 大川市,***,***,***,20901,***,***
1980年度,福岡県 行橋市,***,***,***,16661,***,***
1980年度,福岡県 豊前市,***,***,***,11195,***,***
1980年度,福岡県 中間市,***,***,***,7862,***,***
1980年度,福岡県 小郡市,***,***,***,8240,***,***
1980年度,福岡県 筑紫野市,***,***,***,11239,***,***
1980年度,福岡県 春日市,***,***,***,12579,***,***
1980年度,福岡県 大野城市,***,***,***,10168,***,***
1980年度,福岡県 宗像市,***,***,***,12831,***,***
1980年度,福岡県 太宰府市,***,***,***,6105,***,***
1980年度,福岡県 古賀市,***,***,***,9642,***,***
1980年度,福岡県 福津市,***,***,***,7602,***,***
1980年度,福岡県 うきは市,***,***,***,13402,***,***
1980年度,福岡県 宮若市,***,***,***,9420,***,***
1980年度,福岡県 嘉麻市,***,***,***,14003,***,***
1980年度,福岡県 朝倉市,***,***,***,25625,***,***
1980年度,福岡県 みやま市,***,***,***,17533,***,***
1980年度,福岡県 糸島市,***,***,***,19687,***,***
1980年度,福岡県 那珂川市,***,***,***,4899,***,***
1980年度,佐賀県 佐賀市,***,***,***,88997,***,***
1980年度,佐賀県 唐津市,***,***,***,58023,***,***
1980年度,佐賀県 鳥栖市,***,***,***,17726,***,***
1980年度,佐賀県 多久市,***,***,***,9790,***,***
1980年度,佐賀県 伊万里市,***,***,***,28829,***,***
1980年度,佐賀県 武雄市,***,***,***,18585,***,***
1980年度,佐賀県 鹿島市,***,***,***,15797,***,***
1980年度,佐賀県 小城市,***,***,***,11836,***,***
1980年度,佐賀県 嬉野市,***,***,***,13107,***,***
1980年度,佐賀県 神埼市,***,***,***,9709,***,***
1980年度,長崎県 長崎市,***,***,***,195497,***,***
1980年度,長崎県 佐世保市,***,***,***,119714,***,***
1980年度,長崎県 島原市,***,***,***,24907,***,***
1980年度,長崎県 諫早市,***,***,***,44264,***,***
1980年度,長崎県 大村市,***,***,***,27354,***,***
1980年度,長崎県 平戸市,***,***,***,21914,***,***
1980年度,長崎県 松浦市,***,***,***,13449,***,***
1980年度,長崎県 対馬市,***,***,***,22263,***,***
1980年度,長崎県 壱岐市,***,***,***,17322,***,***
1980年度,長崎県 五島市,***,***,***,23691,***,***
1980年度,長崎県 西海市,***,***,***,16813,***,***
1980年度,長崎県 雲仙市,***,***,***,23893,***,***
1980年度,長崎県 南島原市,***,***,***,25381,***,***
1980年度,熊本県 熊本市,***,***,***,255927,***,***
1980年度,熊本県 八代市,***,***,***,64481,***,***
1980年度,熊本県 人吉市,***,***,***,19112,***,***
1980年度,熊本県 荒尾市,***,***,***,15719,***,***
1980年度,熊本県 水俣市,***,***,***,16193,***,***
1980年度,熊本県 玉名市,***,***,***,27042,***,***
1980年度,熊本県 山鹿市,***,***,***,26438,***,***
1980年度,熊本県 菊池市,***,***,***,20550,***,***
1980年度,熊本県 宇土市,***,***,***,12156,***,***
1980年度,熊本県 上天草市,***,***,***,16031,***,***
1980年度,熊本県 宇城市,***,***,***,23102,***,***
1980年度,熊本県 阿蘇市,***,***,***,14925,***,***
1980年度,熊本県 天草市,***,***,***,51569,***,***
1980年度,熊本県 合志市,***,***,***,6868,***,***
1980年度,大分県 大分市,***,***,***,161320,***,***
1980年度,大分県 別府市,***,***,***,54357,***,***
1980年度,大分県 中津市,***,***,***,34672,***,***
1980年度,大分県 日田市,***,***,***,37411,***,***
1980年度,大分県 佐伯市,***,***,***,37289,***,***
1980年度,大分県 臼杵市,***,***,***,20246,***,***
1980年度,大分県 津久見市,***,***,***,12844,***,***
1980年度,大分県 竹田市,***,***,***,18423,***,***
1980年度,大分県 豊後高田市,***,***,***,13823,***,***
1980年度,大分県 杵築市,***,***,***,14526,***,***
1980年度,大分県 宇佐市,***,***,***,28192,***,***
1980年度,大分県 豊後大野市,***,***,***,22168,***,***
1980年度,大分県 由布市,***,***,***,12357,***,***
1980年度,大分県 国東市,***,***,***,19783,***,***
1980年度,宮崎県 宮崎市,***,***,***,142864,***,***
1980年度,宮崎県 都城市,***,***,***,76436,***,***
1980年度,宮崎県 延岡市,***,***,***,66435,***,***
1980年度,宮崎県 日南市,***,***,***,31626,***,***
1980年度,宮崎県 小林市,***,***,***,24947,***,***
1980年度,宮崎県 日向市,***,***,***,27463,***,***
1980年度,宮崎県 串間市,***,***,***,13257,***,***
1980年度,宮崎県 西都市,***,***,***,17143,***,***
1980年度,宮崎県 えびの市,***,***,***,13357,***,***
1980年度,鹿児島県 鹿児島市,***,***,***,229675,***,***
1980年度,鹿児島県 鹿屋市,***,***,***,43483,***,***
1980年度,鹿児島県 枕崎市,***,***,***,12561,***,***
1980年度,鹿児島県 阿久根市,***,***,***,13021,***,***
1980年度,鹿児島県 出水市,***,***,***,25316,***,***
1980年度,鹿児島県 指宿市,***,***,***,23315,***,***
1980年度,鹿児島県 西之表市,***,***,***,11263,***,***
1980年度,鹿児島県 垂水市,***,***,***,9832,***,***
1980年度,鹿児島県 薩摩川内市,***,***,***,46007,***,***
1980年度,鹿児島県 日置市,***,***,***,19361,***,***
1980年度,鹿児島県 曽於市,***,***,***,23060,***,***
1980年度,鹿児島県 霧島市,***,***,***,40259,***,***
1980年度,鹿児島県 いちき串木野市,***,***,***,13746,***,***
1980年度,鹿児島県 南さつま市,***,***,***,21723,***,***
1980年度,鹿児島県 志布志市,***,***,***,17839,***,***
1980年度,鹿児島県 奄美市,***,***,***,27687,***,***
1980年度,鹿児島県 南九州市,***,***,***,23893,***,***
1980年度,鹿児島県 伊佐市,***,***,***,18043,***,***
1980年度,鹿児島県 姶良市,***,***,***,18978,***,***
1980年度,沖縄県 那覇市,***,***,***,101831,***,***
1980年度,沖縄県 宜野湾市,***,***,***,11735,***,***
1980年度,沖縄県 石垣市,***,***,***,16534,***,***
1980年度,沖縄県 浦添市,***,***,***,13707,***,***
1980年度,沖縄県 名護市,***,***,***,16889,***,***
1980年度,沖縄県 糸満市,***,***,***,10427,***,***
1980年度,沖縄県 沖縄市,***,***,***,23950,***,***
1980年度,沖縄県 豊見城市,***,***,***,5150,***,***
1980年度,沖縄県 うるま市,***,***,***,20187,***,***
1980年度,沖縄県 宮古島市,***,***,***,22172,***,***
1980年度,沖縄県 南城市,***,***,***,6695,***,***
鹿児島県 十島村,***,350,0,,,,
鹿児島県 さつま町,***,9743,15,,,,
鹿児島県 長島町,***,4934,11,,,,
鹿児島県 湧水町,***,3246,304,,,,
鹿児島県 大崎町,***,4628,40,,,,
鹿児島県 東串良町,***,2080,9,,,,
鹿児島県 錦江町,***,2973,3,,,,
鹿児島県 南大隅町,***,2879,4,,,,
鹿児島県 肝付町,***,4621,24,,,,
鹿児島県 中種子町,***,4085,1,,,,
鹿児島県 南種子町,***,2996,2,,,,
鹿児島県 屋久島町,***,6658,1,,,,
鹿児島県 大和村,***,414,5,,,,
鹿児島県 宇検村,***,769,1,,,,
鹿児島県 瀬戸内町,***,3762,5,,,,
鹿児島県 龍郷町,***,1508,0,,,,
鹿児島県 喜界町,***,3703,1,,,,
鹿児島県 徳之島町,***,4759,0,,,,
鹿児島県 天城町,***,2630,0,,,,
鹿児島県 伊仙町,***,2276,0,,,,
鹿児島県 和泊町,***,3380,0,,,,
鹿児島県 知名町,***,2981,2,,,,
鹿児島県 与論町,***,2600,1,,,,
沖縄県 那覇市,***,87482,317,,,,
沖縄県 宜野湾市,***,13031,76,,,,
沖縄県 石垣市,***,20766,30,,,,
沖縄県 浦添市,***,20376,77,,,,
沖縄県 名護市,***,18746,17,,,,
沖縄県 糸満市,***,12860,23,,,,
沖縄県 沖縄市,***,24815,89,,,,
沖縄県 豊見城市,***,7764,45,,,,
沖縄県 うるま市,***,22530,46,,,,
沖縄県 宮古島市,***,23215,10,,,,
沖縄県 南城市,***,7430,13,,,,
沖縄県 国頭村,***,1958,1,,,,
沖縄県 大宜味村,***,930,0,,,,
沖縄県 東村,***,718,2,,,,
沖縄県 今帰仁村,***,2678,6,,,,
沖縄県 本部町,***,4795,9,,,,
沖縄県 恩納村,***,2850,2,,,,
沖縄県 宜野座村,***,1337,4,,,,
沖縄県 金武町,***,2645,3,,,,
沖縄県 伊江村,***,2197,2,,,,
沖縄県 読谷村,***,6521,28,,,,
沖縄県 嘉手納町,***,1786,10,,,,
沖縄県 北谷町,***,3620,24,,,,
沖縄県 北中城村,***,1650,9,,,,
沖縄県 中城村,***,2105,15,,,,
沖縄県 西原町,***,4909,19,,,,
沖縄県 与那原町,***,1757,6,,,,
沖縄県 南風原町,***,4782,11,,,,
沖縄県 渡嘉敷村,***,449,1,,,,
沖縄県 座間味村,***,476,0,,,,
沖縄県 粟国村,***,323,0,,,,
沖縄県 渡名喜村,***,223,1,,,,
沖縄県 南大東村,***,866,2,,,,
沖縄県 北大東村,***,471,0,,,,
沖縄県 伊平屋村,***,579,0,,,,
沖縄県 伊是名村,***,687,1,,,,
沖縄県 久米島町,***,4011,0,,,,
沖縄県 八重瀬町,***,3942,7,,,,
沖縄県 多良間村,***,640,0,,,,
沖縄県 竹富町,***,2158,0,,,,
沖縄県 与那国町,***,976,0,,,,
北海道 札幌市,***,***,***,,,,
北海道 札幌市 中央区,***,***,***,,,,
北海道 札幌市 北区,***,***,***,,,,
北海道 札幌市 東区,***,***,***,,,,
北海道 札幌市 白石区,***,***,***,,,,
北海道 札幌市 豊平区,***,***,***,,,,
北海道 札幌市 南区,***,***,***,,,,
北海道 札幌市 西区,***,***,***,,,,
北海道 札幌市 厚別区,***,***,***,,,,
北海道 札幌市 手稲区,***,***,***,,,,
北海道 札幌市 清田区,***,***,***,,,,
北海道 函館市,***,***,***,,,,
北海道 小樽市,***,***,***,,,,
北海道 旭川市,***,***,***,,,,
北海道 室蘭市,***,***,***,,,,
北海道 釧路市,***,***,***,,,,
北海道 帯広市,***,***,***,,,,
北海道 北見市,***,***,***,,,,
北海道 夕張市,***,***,***,,,,
北海道 岩見沢市,***,***,***,,,,
北海道 網走市,***,***,***,,,,
北海道 留萌市,***,***,***,,,,
北海道 苫小牧市,***,***,***,,,,
北海道 稚内市,***,***,***,,,,
北海道 美唄市,***,***,***,,,,
北海道 芦別市,***,***,***,,,,
北海道 江別市,***,***,***,,,,
北海道 赤平市,***,***,***,,,,
北海道 紋別市,***,***,***,,,,
北海道 士別市,***,***,***,,,,
北海道 名寄市,***,***,***,,,,
北海道 三笠市,***,***,***,,,,
北海道 根室市,***,***,***,,,,
北海道 千歳市,***,***,***,,,,
北海道 滝川市,***,***,***,,,,
北海道 砂川市,***,***,***,,,,
北海道 歌志内市,***,***,***,,,,
北海道 深川市,***,***,***,,,,
北海道 富良野市,***,***,***,,,,
北海道 登別市,***,***,***,,,,
北海道 恵庭市,***,***,***,,,,
北海道 伊達市,***,***,***,,,,
北海道 北広島市,***,***,***,,,,
北海道 石狩市,***,***,***,,,,
北海道 北斗市,***,***,***,,,,
北海道 当別町,***,***,***,,,,
北海道 新篠津村,***,***,***,,,,
北海道 松前町,***,***,***,,,,
北海道 福島町,***,***,***,,,,
北海道 知内町,***,***,***,,,,
北海道 木古内町,***,***,***,,,,
北海道 七飯町,***,***,***,,,,
北海道 鹿部町,***,***,***,,,,
北海道 森町,***,***,***,,,,
北海道 八雲町,***,***,***,,,,
北海道 長万部町,***,***,***,,,,
北海道 江差町,***,***,***,,,,
北海道 上ノ国町,***,***,***,,,,
北海道 厚沢部町,***,***,***,,,,
北海道 乙部町,***,***,***,,,,
北海道 奥尻町,***,***,***,,,,
北海道 今金町,***,***,***,,,,
北海道 せたな町,***,***,***,,,,
北海道 島牧村,***,***,***,,,,
北海道 寿都町,***,***,***,,,,
北海道 黒松内町,***,***,***,,,,
北海道 蘭越町,***,***,***,,,,
北海道 ニセコ町,***,***,***,,,,
北海道 真狩村,***,***,***,,,,
北海道 留寿都村,***,***,***,,,,
北海道 喜茂別町,***,***,***,,,,
北海道 京極町,***,***,***,,,,
北海道 倶知安町,***,***,***,,,,
北海道 共和町,***,***,***,,,,
北海道 岩内町,***,***,***,,,,
北海道 泊村,***,***,***,,,,
北海道 神恵内村,***,***,***,,,,
北海道 積丹町,***,***,***,,,,
北海道 古平町,***,***,***,,,,
北海道 仁木町,***,***,***,,,,
北海道 余市町,***,***,***,,,,
北海道 赤井川村,***,***,***,,,,
北海道 南幌町,***,***,***,,,,
北海道 奈井江町,***,***,***,,,,
北海道 上砂川町,***,***,***,,,,
北海道 由仁町,***,***,***,,,,
北海道 長沼町,***,***,***,,,,
北海道 栗山町,***,***,***,,,,
北海道 月形町,***,***,***,,,,
北海道 浦臼町,***,***,***,,,,
北海道 新十津川町,***,***,***,,,,
北海道 妹背牛町,***,***,***,,,,
北海道 秩父別町,***,***,***,,,,
北海道 雨竜町,***,***,***,,,,
北海道 北竜町,***,***,***,,,,
北海道 沼田町,***,***,***,,,,
北海道 鷹栖町,***,***,***,,,,
北海道 東神楽町,***,***,***,,,,
北海道 当麻町,***,***,***,,,,
北海道 比布町,***,***,***,,,,
北海道 愛別町,***,***,***,,,,
北海道 上川町,***,***,***,,,,
北海道 東川町,***,***,***,,,,
北海道 美瑛町,***,***,***,,,,
北海道 上富良野町,***,***,***,,,,
北海道 中富良野町,***,***,***,,,,
北海道 南富良野町,***,***,***,,,,
北海道 占冠村,***,***,***,,,,
北海道 和寒町,***,***,***,,,,
北海道 剣淵町,***,***,***,,,,
北海道 下川町,***,***,***,,,,
北海道 美深町,***,***,***,,,,
北海道 音威子府村,***,***,***,,,,
北海道 中川町,***,***,***,,,,
北海道 幌加内町,***,***,***,,,,
北海道 増毛町,***,***,***,,,,
北海道 小平町,***,***,***,,,,
北海道 苫前町,***,***,***,,,,
北海道 羽幌町,***,***,***,,,,
北海道 初山別村,***,***,***,,,,
北海道 遠別町,***,***,***,,,,
北海道 天塩町,***,***,***,,,,
北海道 猿払村,***,***,***,,,,
北海道 浜頓別町,***,***,***,,,,
北海道 中頓別町,***,***,***,,,,
北海道 枝幸町,***,***,***,,,,
北海道 豊富町,***,***,***,,,,
北海道 礼文町,***,***,***,,,,
北海道 利尻町,***,***,***,,,,
北海道 利尻富士町,***,***,***,,,,
北海道 幌延町,***,***,***,,,,
北海道 美幌町,***,***,***,,,,
北海道 津別町,***,***,***,,,,
