area,year,inside,out_in,outside
茨城県 茨城町,2010年度,"7,826","8,950",133
茨城県 大洗町,2010年度,"5,274","3,919",54
茨城県 城里町,2010年度,"4,307","5,885",125
茨城県 東海村,2010年度,"8,061","8,597",203
茨城県 大子町,2010年度,"7,195","1,681",620
茨城県 美浦村,2010年度,"3,975","3,722",410
茨城県 阿見町,2010年度,"9,969","10,799","2,225"
茨城県 河内町,2010年度,"1,901","1,778","1,143"
茨城県 八千代町,2010年度,"6,063","5,016",613
茨城県 五霞町,2010年度,"2,189",349,"1,971"
茨城県 境町,2010年度,"7,105","4,162","1,517"
茨城県 利根町,2010年度,"1,978","2,236","3,329"
栃木県 宇都宮市,2010年度,"182,134","41,671","5,904"
栃木県 足利市,2010年度,"50,849","5,296","16,659"
栃木県 栃木市,2010年度,"47,806",-,"5,090"
栃木県 佐野市,2010年度,"42,533","9,266","5,387"
栃木県 鹿沼市,2010年度,"36,020","13,024",709
栃木県 日光市,2010年度,"35,727","8,085",478
栃木県 小山市,2010年度,"48,257","14,896","12,709"
栃木県 真岡市,2010年度,"28,586","11,027","2,252"
栃木県 大田原市,2010年度,"26,123","10,759",435
栃木県 矢板市,2010年度,"9,576","7,163",206
栃木県 那須塩原市,2010年度,"38,944","16,635","1,104"
栃木県 さくら市,2010年度,"10,611","9,641",282
栃木県 那須烏山市,2010年度,"8,875","5,255",171
栃木県 下野市,2010年度,"13,263","12,917","2,237"
栃木県 上三川町,2010年度,"7,615","7,957",501
栃木県 益子町,2010年度,"5,747","6,032",388
栃木県 茂木町,2010年度,"3,854","2,984",308
栃木県 市貝町,2010年度,"2,422","3,775",92
栃木県 芳賀町,2010年度,"4,188","4,384",113
栃木県 壬生町,2010年度,"8,879","9,507",553
栃木県 野木町,2010年度,"4,189","2,566","5,728"
栃木県 塩谷町,2010年度,"3,024","3,292",46
栃木県 高根沢町,2010年度,"5,972","9,436",214
栃木県 那須町,2010年度,"8,184","3,555",486
栃木県 那珂川町,2010年度,"5,586","3,609",112
群馬県 前橋市,2010年度,"116,518","37,586","3,506"
群馬県 高崎市,2010年度,"121,389","38,900","7,521"
群馬県 桐生市,2010年度,"35,834","17,818","2,493"
群馬県 伊勢崎市,2010年度,"66,034","26,841","4,526"
群馬県 太田市,2010年度,"70,937","20,683","8,381"
群馬県 沼田市,2010年度,"18,254","6,001",222
群馬県 館林市,2010年度,"21,765","8,522","5,992"
群馬県 渋川市,2010年度,"26,362","13,075",476
群馬県 藤岡市,2010年度,"19,029","9,941","3,382"
群馬県 富岡市,2010年度,"17,365","7,700",324
群馬県 安中市,2010年度,"17,335","9,872",707
群馬県 みどり市,2010年度,"11,542","12,891",723
群馬県 榛東村,2010年度,"2,965","4,381",107
群馬県 吉岡町,2010年度,"2,856","6,521",146
群馬県 上野村,2010年度,546,68,1
群馬県 神流町,2010年度,735,158,34
群馬県 下仁田町,2010年度,"2,467","1,511",87
群馬県 南牧村,2010年度,475,400,12
群馬県 甘楽町,2010年度,"3,276","3,649",109
群馬県 中之条町,2010年度,"5,474","3,259",39
群馬県 長野原町,2010年度,"2,259",777,61
群馬県 嬬恋村,2010年度,"4,785",722,97
群馬県 草津町,2010年度,"3,812",287,24
群馬県 高山村,2010年度,948,888,16
群馬県 東吾妻町,2010年度,"4,722","2,829",39
群馬県 片品村,2010年度,"2,240",363,19
群馬県 川場村,2010年度,918,746,8
群馬県 昭和村,2010年度,"2,779","1,341",26
群馬県 みなかみ町,2010年度,"7,564","2,774",156
群馬県 玉村町,2010年度,"6,631","10,507",953
群馬県 板倉町,2010年度,"3,974","2,302","1,859"
群馬県 明和町,2010年度,"2,141","2,329","1,163"
群馬県 千代田町,2010年度,"2,141","2,644",714
群馬県 大泉町,2010年度,"10,641","7,131","2,030"
群馬県 邑楽町,2010年度,"4,915","6,267","1,900"
埼玉県 さいたま市,2010年度,"187,432","174,434","183,260"
埼玉県 さいたま市 西区,2010年度,"13,608","13,984","9,038"
埼玉県 さいたま市 北区,2010年度,"23,402","20,947","19,214"
埼玉県 さいたま市 大宮区,2010年度,"17,610","13,295","16,870"
埼玉県 さいたま市 見沼区,2010年度,"24,330","24,894","17,981"
埼玉県 さいたま市 中央区,2010年度,"13,353","13,455","16,892"
埼玉県 さいたま市 桜区,2010年度,"15,352","14,619","13,600"
埼玉県 さいたま市 浦和区,2010年度,"20,241","15,700","28,711"
埼玉県 さいたま市 南区,2010年度,"20,513","24,073","36,703"
埼玉県 さいたま市 緑区,2010年度,"15,371","17,493","16,008"
埼玉県 さいたま市 岩槻区,2010年度,"23,652","15,974","8,243"
埼玉県 川越市,2010年度,"71,173","43,442","31,161"
埼玉県 熊谷市,2010年度,"54,736","26,930","11,343"
埼玉県 川口市,2010年度,"110,114",-,"99,861"
埼玉県 行田市,2010年度,"19,557","17,022","4,340"
埼玉県 秩父市,2010年度,"22,035","7,018",676
埼玉県 所沢市,2010年度,"61,574","22,064","60,860"
埼玉県 飯能市,2010年度,"16,821","12,003","8,980"
埼玉県 加須市,2010年度,"28,601","19,179","8,608"
埼玉県 本庄市,2010年度,"20,857","11,553","5,294"
埼玉県 東松山市,2010年度,"19,565","17,219","5,190"
埼玉県 春日部市,2010年度,"40,709","33,318","30,606"
埼玉県 狭山市,2010年度,"32,525","20,609","17,548"
埼玉県 羽生市,2010年度,"14,080","9,265","2,868"
埼玉県 鴻巣市,2010年度,"21,405","23,727","10,198"
埼玉県 深谷市,2010年度,"39,813","21,886","5,864"
埼玉県 上尾市,2010年度,"39,260","38,932","23,521"
埼玉県 草加市,2010年度,"38,330","18,946","44,857"
埼玉県 越谷市,2010年度,"59,542","31,716","50,696"
埼玉県 蕨市,2010年度,"7,979","9,599","14,169"
埼玉県 戸田市,2010年度,"21,689","10,740","24,939"
埼玉県 入間市,2010年度,"28,691","19,338","20,095"
埼玉県 朝霞市,2010年度,"18,161","12,654","26,826"
埼玉県 志木市,2010年度,"8,000","10,175","13,162"
埼玉県 和光市,2010年度,"10,977","4,317","23,067"
埼玉県 新座市,2010年度,"24,017","13,621","33,592"
埼玉県 桶川市,2010年度,"11,005","15,535","7,422"
埼玉県 久喜市,2010年度,"28,480","25,976","16,661"
埼玉県 北本市,2010年度,"9,693","14,492","6,359"
埼玉県 八潮市,2010年度,"17,927","6,242","12,958"
埼玉県 富士見市,2010年度,"12,378","17,660","17,351"
埼玉県 三郷市,2010年度,"27,759","10,087","24,256"
埼玉県 蓮田市,2010年度,"8,704","12,004","7,625"
埼玉県 坂戸市,2010年度,"15,995","21,406","7,304"
埼玉県 幸手市,2010年度,"8,948","9,148","6,238"
埼玉県 鶴ヶ島市,2010年度,"9,177","16,685","6,436"
埼玉県 日高市,2010年度,"10,774","11,764","3,830"
埼玉県 吉川市,2010年度,"10,821","10,321","8,804"
埼玉県 ふじみ野市,2010年度,"15,298","16,570","14,642"
埼玉県 白岡市,2010年度,"6,786","10,394","6,152"
埼玉県 伊奈町,2010年度,"6,167","10,409","3,260"
埼玉県 三芳町,2010年度,"6,626","5,701","5,309"
埼玉県 毛呂山町,2010年度,"6,693","8,117","1,762"
埼玉県 越生町,2010年度,"1,981","3,630",460
埼玉県 滑川町,2010年度,"2,314","4,638",994
埼玉県 嵐山町,2010年度,"3,532","4,509",848
埼玉県 小川町,2010年度,"6,285","8,047","1,688"
埼玉県 川島町,2010年度,"4,417","5,543",904
埼玉県 吉見町,2010年度,"3,709","6,099",821
埼玉県 鳩山町,2010年度,"1,793","3,960","1,171"
埼玉県 ときがわ町,2010年度,"2,500","3,508",298
埼玉県 横瀬町,2010年度,"1,588","2,282",158
埼玉県 皆野町,2010年度,"2,278","2,664",98
埼玉県 長瀞町,2010年度,"1,595","1,978",91
埼玉県 小鹿野町,2010年度,"3,920","2,279",66
埼玉県 東秩父村,2010年度,512,900,45
埼玉県 美里町,2010年度,"2,341","2,750",489
埼玉県 神川町,2010年度,"2,982","2,692","1,284"
埼玉県 上里町,2010年度,"5,898","6,181","2,664"
埼玉県 寄居町,2010年度,"7,499","8,505",946
埼玉県 宮代町,2010年度,"3,847","7,378","3,935"
埼玉県 杉戸町,2010年度,"7,008","9,130","5,018"
埼玉県 松伏町,2010年度,"4,263","6,477","3,387"
千葉県 千葉市,2010年度,"149,574","155,519","97,091"
千葉県 千葉市 中央区,2010年度,"42,076","27,145","16,419"
千葉県 千葉市 花見川区,2010年度,"22,062","31,154","21,759"
千葉県 千葉市 稲毛区,2010年度,"21,104","26,308","17,740"
千葉県 千葉市 若葉区,2010年度,"25,178","27,136","8,446"
千葉県 千葉市 緑区,2010年度,"17,139","24,462","8,947"
千葉県 千葉市 美浜区,2010年度,"22,015","19,314","23,780"
千葉県 銚子市,2010年度,"24,515","3,920","4,281"
千葉県 市川市,2010年度,"63,591","29,514","110,503"
千葉県 船橋市,2010年度,"95,134","60,009","108,968"
千葉県 館山市,2010年度,"17,980","4,453",273
千葉県 木更津市,2010年度,"33,450","21,543","3,593"
千葉県 松戸市,2010年度,"78,974","34,506","96,229"
千葉県 野田市,2010年度,"39,446","10,548","20,455"
千葉県 茂原市,2010年度,"23,334","15,880","2,142"
千葉県 成田市,2010年度,"41,339","15,252","4,070"
千葉県 佐倉市,2010年度,"27,542","30,829","17,610"
千葉県 東金市,2010年度,"13,692","12,239","1,630"
千葉県 旭市,2010年度,"24,232","9,572","1,280"
千葉県 習志野市,2010年度,"22,248","26,299","27,746"
千葉県 柏市,2010年度,"74,811","33,214","66,965"
千葉県 勝浦市,2010年度,"5,859","2,939",93
千葉県 市原市,2010年度,"73,745","32,876","9,544"
千葉県 流山市,2010年度,"20,106","20,967","32,351"
千葉県 八千代市,2010年度,"30,778","26,116","24,325"
千葉県 我孫子市,2010年度,"16,820","14,258","23,139"
千葉県 鴨川市,2010年度,"14,490","2,496",159
千葉県 鎌ケ谷市,2010年度,"13,251","19,401","15,057"
千葉県 君津市,2010年度,"25,945","15,339","1,333"
千葉県 富津市,2010年度,"12,044","10,115",481
千葉県 浦安市,2010年度,"25,425","6,521","42,480"
千葉県 四街道市,2010年度,"11,468","19,263","6,670"
千葉県 袖ケ浦市,2010年度,"12,911","13,373","1,957"
千葉県 八街市,2010年度,"15,314","17,887","2,501"
千葉県 印西市,2010年度,"16,403","13,552","11,847"
千葉県 白井市,2010年度,"8,378","10,704","9,050"
千葉県 富里市,2010年度,"9,759","13,690","1,609"
千葉県 南房総市,2010年度,"13,255","6,894",265
千葉県 匝瑳市,2010年度,"10,449","7,434",298
千葉県 香取市,2010年度,"23,520","10,442","5,057"
千葉県 山武市,2010年度,"12,656","12,527","1,087"
千葉県 いすみ市,2010年度,"10,172","7,044",435
千葉県 大網白里市,2010年度,"7,139","11,617","2,992"
千葉県 酒々井町,2010年度,"2,104","6,281","1,246"
千葉県 栄町,2010年度,"3,036","5,920","1,767"
千葉県 神崎町,2010年度,"1,023","1,572",295
千葉県 多古町,2010年度,"4,455","3,660",147
千葉県 東庄町,2010年度,"3,195","2,387","1,667"
千葉県 九十九里町,2010年度,"3,769","4,139",295
千葉県 芝山町,2010年度,"2,038","1,771",92
千葉県 横芝光町,2010年度,"5,480","5,605",198
千葉県 一宮町,2010年度,"2,312","2,742",376
千葉県 睦沢町,2010年度,"1,063","2,132",133
千葉県 長生村,2010年度,"2,070","4,143",323
千葉県 白子町,2010年度,"2,381","3,027",197
千葉県 長柄町,2010年度,"1,409","2,018",104
千葉県 長南町,2010年度,"1,399","2,527",85
千葉県 大多喜町,2010年度,"2,611","1,960",52
千葉県 御宿町,2010年度,"1,511","1,489",92
千葉県 鋸南町,2010年度,"2,409","1,688",72
東京都 特別区部,2010年度,"1,369,337","1,885,169","252,155"
東京都 千代田区,2010年度,"12,027","7,815","1,029"
東京都 中央区,2010年度,"27,049","28,113","3,117"
東京都 港区,2010年度,"37,880","33,063","4,509"
東京都 新宿区,2010年度,"51,526","56,033","5,287"
東京都 文京区,2010年度,"29,042","49,501","5,109"
東京都 台東区,2010年度,"34,988","32,956","3,735"
東京都 墨田区,2010年度,"44,151","56,712","6,113"
東京都 江東区,2010年度,"82,845","116,409","12,715"
東京都 品川区,2010年度,"60,206","83,658","12,046"
東京都 目黒区,2010年度,"31,307","60,085","7,029"
東京都 大田区,2010年度,"139,309","128,117","29,474"
東京都 世田谷区,2010年度,"110,834","189,811","22,612"
東京都 渋谷区,2010年度,"31,007","40,370","3,895"
東京都 中野区,2010年度,"34,569","80,758","5,600"
東京都 杉並区,2010年度,"65,209","134,849","9,798"
東京都 豊島区,2010年度,"34,462","56,582","6,202"
東京都 北区,2010年度,"44,621","77,125","11,599"
東京都 荒川区,2010年度,"30,018","46,847","5,570"
東京都 板橋区,2010年度,"83,103","110,390","15,824"
東京都 練馬区,2010年度,"92,232","156,386","18,616"
東京都 足立区,2010年度,"118,262","115,769","23,943"
東京都 葛飾区,2010年度,"68,530","89,222","15,418"
東京都 江戸川区,2010年度,"106,160","134,598","22,915"
東京都 八王子市,2010年度,"122,649","90,622","17,263"
東京都 立川市,2010年度,"27,580","39,353","3,522"
東京都 武蔵野市,2010年度,"17,570","37,007","2,734"
東京都 三鷹市,2010年度,"23,370","46,116","2,918"
東京都 青梅市,2010年度,"29,705","25,872","3,088"
東京都 府中市,2010年度,"48,005","56,861","6,166"
東京都 昭島市,2010年度,"19,046","30,000","2,289"
東京都 調布市,2010年度,"29,060","58,018","4,439"
東京都 町田市,2010年度,"62,165","54,269","50,180"
東京都 小金井市,2010年度,"12,149","33,635","2,202"
東京都 小平市,2010年度,"24,012","44,977","4,146"
東京都 日野市,2010年度,"24,549","45,963","3,878"
東京都 東村山市,2010年度,"18,731","34,823","6,132"
東京都 国分寺市,2010年度,"11,929","34,585","3,051"
東京都 国立市,2010年度,"8,320","19,214","1,865"
東京都 福生市,2010年度,"7,978","16,297","1,221"
東京都 狛江市,2010年度,"8,185","21,149","2,909"
東京都 東大和市,2010年度,"11,480","22,324","2,119"
東京都 清瀬市,2010年度,"9,156","15,948","5,142"
東京都 東久留米市,2010年度,"16,901","27,897","4,225"
東京都 武蔵村山市,2010年度,"12,432","15,951","1,499"
東京都 多摩市,2010年度,"20,275","33,525","5,306"
東京都 稲城市,2010年度,"9,448","19,958","6,212"
東京都 羽村市,2010年度,"9,336","15,306","1,210"
東京都 あきる野市,2010年度,"13,623","18,273","1,150"
東京都 西東京市,2010年度,"21,888","50,726","4,960"
東京都 瑞穂町,2010年度,"6,494","7,669","1,266"
東京都 日の出町,2010年度,"2,701","4,238",215
東京都 檜原村,2010年度,608,514,13
東京都 奥多摩町,2010年度,"1,472",987,50
東京都 大島町,2010年度,"4,119",11,2
東京都 利島村,2010年度,244,0,0
東京都 新島村,2010年度,"1,448",4,0
東京都 神津島村,2010年度,"1,073",3,0
東京都 三宅村,2010年度,"1,475",3,2
東京都 御蔵島村,2010年度,230,0,1
東京都 八丈町,2010年度,"4,210",9,7
東京都 青ヶ島村,2010年度,137,0,0
東京都 小笠原村,2010年度,"1,915",2,2
神奈川県 横浜市,2010年度,"526,090","659,205","439,288"
神奈川県 横浜市 鶴見区,2010年度,"45,625","40,141","39,062"
神奈川県 横浜市 神奈川区,2010年度,"32,539","43,735","31,061"
神奈川県 横浜市 西区,2010年度,"13,253","16,878","13,440"
神奈川県 横浜市 中区,2010年度,"26,749","15,976","14,381"
神奈川県 横浜市 南区,2010年度,"25,280","43,569","17,196"
神奈川県 横浜市 保土ケ谷区,2010年度,"26,686","41,793","21,362"
神奈川県 横浜市 磯子区,2010年度,"21,221","36,061","14,084"
神奈川県 横浜市 金沢区,2010年度,"36,166","37,141","18,884"
神奈川県 横浜市 港北区,2010年度,"49,027","45,143","58,370"
神奈川県 横浜市 戸塚区,2010年度,"43,268","47,606","31,474"
神奈川県 横浜市 港南区,2010年度,"29,318","47,996","20,730"
神奈川県 横浜市 旭区,2010年度,"34,886","52,531","20,991"
神奈川県 横浜市 緑区,2010年度,"22,278","35,771","19,829"
神奈川県 横浜市 瀬谷区,2010年度,"16,701","28,410","8,626"
神奈川県 横浜市 栄区,2010年度,"13,449","28,331","11,630"
神奈川県 横浜市 泉区,2010年度,"20,251","34,496","12,436"
神奈川県 横浜市 青葉区,2010年度,"36,847","34,394","59,707"
神奈川県 横浜市 都筑区,2010年度,"32,546","29,233","26,025"
神奈川県 川崎市,2010年度,"188,423","149,025","262,920"
神奈川県 川崎市 川崎区,2010年度,"49,625","15,750","25,831"
神奈川県 川崎市 幸区,2010年度,"19,281","21,578","24,830"
神奈川県 川崎市 中原区,2010年度,"29,878","25,527","48,872"
神奈川県 川崎市 高津区,2010年度,"25,583","24,529","43,697"
神奈川県 川崎市 多摩区,2010年度,"24,398","20,498","43,174"
神奈川県 川崎市 宮前区,2010年度,"23,282","25,619","41,314"
神奈川県 川崎市 麻生区,2010年度,"16,376","15,524","35,202"
神奈川県 相模原市,2010年度,"144,465","86,232","82,166"
神奈川県 相模原市 緑区,2010年度,"39,701","16,263","22,789"
神奈川県 相模原市 中央区,2010年度,"61,595","29,266","25,376"
神奈川県 相模原市 南区,2010年度,"43,169","40,703","34,001"
神奈川県 横須賀市,2010年度,"108,734","48,681","16,213"
神奈川県 平塚市,2010年度,"74,838","37,244","10,148"
神奈川県 鎌倉市,2010年度,"27,359","24,116","18,585"
神奈川県 藤沢市,2010年度,"84,664","65,144","29,893"
神奈川県 小田原市,2010年度,"59,453","28,715","6,215"
神奈川県 茅ヶ崎市,2010年度,"40,917","45,210","16,998"
神奈川県 逗子市,2010年度,"6,970","11,185","6,211"
神奈川県 三浦市,2010年度,"11,847","9,260","1,300"
神奈川県 秦野市,2010年度,"39,109","29,487","6,004"
神奈川県 厚木市,2010年度,"64,393","30,561","8,902"
神奈川県 大和市,2010年度,"36,320","40,867","19,824"
神奈川県 伊勢原市,2010年度,"20,604","23,242","4,099"
神奈川県 海老名市,2010年度,"19,876","30,015","8,166"
神奈川県 座間市,2010年度,"16,618","28,545","10,868"
神奈川県 南足柄市,2010年度,"8,549","10,932",966
神奈川県 綾瀬市,2010年度,"14,823","19,346","3,456"
神奈川県 葉山町,2010年度,"4,377","6,585","3,050"
神奈川県 寒川町,2010年度,"9,819","11,414","1,304"
神奈川県 大磯町,2010年度,"4,193","8,436","2,018"
神奈川県 二宮町,2010年度,"3,566","7,845","1,577"
神奈川県 中井町,2010年度,"2,014","2,702",219
神奈川県 大井町,2010年度,"2,812","5,391",464
神奈川県 松田町,2010年度,"1,635","3,441",394
神奈川県 山北町,2010年度,"2,327","3,056",349
神奈川県 開成町,2010年度,"2,182","4,984",537
神奈川県 箱根町,2010年度,"7,295",810,246
神奈川県 真鶴町,2010年度,"1,410","2,047",452
神奈川県 湯河原町,2010年度,"6,833","3,338","1,979"
神奈川県 愛川町,2010年度,"10,216","9,359",889
神奈川県 清川村,2010年度,581,950,88
新潟県 新潟市,2010年度,"232,236","145,321",972
新潟県 新潟市 北区,2010年度,"20,726","15,903",71
新潟県 新潟市 東区,2010年度,"36,121","27,115",158
新潟県 新潟市 中央区,2010年度,"64,994","18,697",305
新潟県 新潟市 江南区,2010年度,"17,548","15,363",62
新潟県 新潟市 秋葉区,2010年度,"17,717","17,548",107
新潟県 新潟市 南区,2010年度,"14,872","9,354",9
新潟県 新潟市 西区,2010年度,"42,353","29,543",221
新潟県 新潟市 西蒲区,2010年度,"17,905","11,798",39
新潟県 長岡市,2010年度,"120,951","16,917",349
新潟県 三条市,2010年度,"39,587","11,103",96
新潟県 柏崎市,2010年度,"38,993","4,625",38
新潟県 新発田市,2010年度,"33,298","14,464",108
新潟県 小千谷市,2010年度,"14,468","4,919",34
新潟県 加茂市,2010年度,"7,839","6,541",17
新潟県 十日町市,2010年度,"26,271","3,518",93
新潟県 見附市,2010年度,"10,791","9,438",46
新潟県 村上市,2010年度,"26,287","4,560",247
新潟県 燕市,2010年度,"29,887","12,109",48
新潟県 糸魚川市,2010年度,"21,570","1,099",428
新潟県 妙高市,2010年度,"11,749","4,818",376
新潟県 五泉市,2010年度,"17,800","8,491",28
新潟県 上越市,2010年度,"91,097","7,093",376
新潟県 阿賀野市,2010年度,"13,274","8,825",39
新潟県 佐渡市,2010年度,"31,545",55,16
新潟県 魚沼市,2010年度,"15,998","3,846",34
新潟県 南魚沼市,2010年度,"26,636","3,821",154
新潟県 胎内市,2010年度,"9,818","5,224",62
新潟県 聖籠町,2010年度,"3,265","3,414",10
新潟県 弥彦村,2010年度,"1,751","2,641",10
新潟県 田上町,2010年度,"2,044","3,949",12
新潟県 阿賀町,2010年度,"4,305","1,079",52
新潟県 出雲崎町,2010年度,"1,149","1,117",3
新潟県 湯沢町,2010年度,"3,562",525,58
新潟県 津南町,2010年度,"4,616",868,150
新潟県 刈羽村,2010年度,892,"1,604",0
新潟県 関川村,2010年度,"1,809","1,254",88
新潟県 粟島浦村,2010年度,289,0,0
富山県 富山市,2010年度,"184,498","19,425","1,915"
富山県 高岡市,2010年度,"59,707","24,232","1,282"
富山県 魚津市,2010年度,"14,199","8,202",91
富山県 氷見市,2010年度,"15,366","9,064",279
富山県 滑川市,2010年度,"7,801","8,832",106
富山県 黒部市,2010年度,"14,771","6,375",62
富山県 砺波市,2010年度,"14,300","11,118",432
富山県 小矢部市,2010年度,"9,360","5,849",941
富山県 南砺市,2010年度,"19,973","7,392",630
富山県 射水市,2010年度,"24,839","20,660",550
富山県 舟橋村,2010年度,272,"1,223",9
富山県 上市町,2010年度,"4,871","6,131",37
富山県 立山町,2010年度,"5,733","8,327",60
富山県 入善町,2010年度,"7,449","6,095",88
富山県 朝日町,2010年度,"3,251","3,140",91
石川県 金沢市,2010年度,"183,849","28,377","3,066"
石川県 七尾市,2010年度,"24,555","3,308",196
石川県 小松市,2010年度,"39,729","13,460",464
石川県 輪島市,2010年度,"12,484","1,068",35
石川県 珠洲市,2010年度,"6,622",767,24
石川県 加賀市,2010年度,"28,565","6,120",900
石川県 羽咋市,2010年度,"6,556","3,969",139
石川県 かほく市,2010年度,"9,514","7,302",192
石川県 白山市,2010年度,"30,471","25,087",492
石川県 能美市,2010年度,"12,024","11,926",151
石川県 野々市市,2010年度,"8,549","16,181",268
石川県 川北町,2010年度,915,"2,048",19
石川県 津幡町,2010年度,"6,643","11,117",579
石川県 内灘町,2010年度,"4,268","8,585",143
石川県 志賀町,2010年度,"8,220","2,261",61
石川県 宝達志水町,2010年度,"3,155","3,311",79
石川県 中能登町,2010年度,"4,426","4,329",64
石川県 穴水町,2010年度,"3,257",891,24
石川県 能登町,2010年度,"7,377","1,411",163
福井県 福井市,2010年度,"110,764","18,179","1,044"
福井県 敦賀市,2010年度,"29,727","3,096",454
福井県 小浜市,2010年度,"12,465","2,820",172
福井県 大野市,2010年度,"13,657","4,435",63
福井県 勝山市,2010年度,"8,683","3,957",96
福井県 鯖江市,2010年度,"19,051","14,117",170
福井県 あわら市,2010年度,"8,387","6,437",606
福井県 越前市,2010年度,"30,385","11,045",196
福井県 坂井市,2010年度,"26,323","19,822",680
福井県 永平寺町,2010年度,"4,223","5,861",86
福井県 池田町,2010年度,773,587,4
福井県 南越前町,2010年度,"2,578","3,127",28
福井県 越前町,2010年度,"5,699","5,803",24
福井県 美浜町,2010年度,"3,431","1,966",32
福井県 高浜町,2010年度,"3,841","1,045",761
福井県 おおい町,2010年度,"2,809","1,283",113
福井県 若狭町,2010年度,"5,321","2,785",112
山梨県 甲府市,2010年度,"63,856","23,001",985
山梨県 富士吉田市,2010年度,"16,779","7,425",513
山梨県 都留市,2010年度,"10,370","4,346",500
山梨県 山梨市,2010年度,"9,938","8,009",286
山梨県 大月市,2010年度,"6,769","3,368","2,303"
山梨県 韮崎市,2010年度,"8,335","6,703",179
山梨県 南アルプス市,2010年度,"19,625","15,844",267
山梨県 北杜市,2010年度,"18,133","4,489",897
山梨県 甲斐市,2010年度,"12,931","22,149",401
山梨県 笛吹市,2010年度,"21,302","13,133",363
山梨県 上野原市,2010年度,"7,376",718,"4,223"
山梨県 甲州市,2010年度,"10,883","6,494",293
山梨県 中央市,2010年度,"6,288","8,481",122
山梨県 市川三郷町,2010年度,"3,624","4,147",52
山梨県 早川町,2010年度,401,112,2
山梨県 身延町,2010年度,"4,242","1,933",117
山梨県 南部町,2010年度,"2,388",546,996
山梨県 富士川町,2010年度,"3,556","3,990",40
山梨県 昭和町,2010年度,"3,172","5,363",77
山梨県 道志村,2010年度,633,271,91
山梨県 西桂町,2010年度,705,"1,495",47
山梨県 忍野村,2010年度,"3,065","1,374",138
山梨県 山中湖村,2010年度,"1,876",684,193
山梨県 鳴沢村,2010年度,807,683,56
山梨県 富士河口湖町,2010年度,"7,618","4,403",314
山梨県 小菅村,2010年度,326,21,37
山梨県 丹波山村,2010年度,220,18,45
長野県 長野市,2010年度,"168,465","18,560","1,177"
長野県 松本市,2010年度,"100,193","18,928",365
長野県 上田市,2010年度,"62,404","12,027",466
長野県 岡谷市,2010年度,"16,426","8,356",88
長野県 飯田市,2010年度,"47,403","6,095",236
長野県 諏訪市,2010年度,"16,424","8,547",150
長野県 須坂市,2010年度,"15,283","10,222",126
長野県 小諸市,2010年度,"11,581","8,060",214
長野県 伊那市,2010年度,"25,539","9,247",129
長野県 駒ヶ根市,2010年度,"12,158","4,753",50
長野県 中野市,2010年度,"17,513","7,224",75
長野県 大町市,2010年度,"11,080","3,462",83
長野県 飯山市,2010年度,"9,146","2,954",59
長野県 茅野市,2010年度,"18,810","8,290",314
長野県 塩尻市,2010年度,"22,271","12,850",108
長野県 佐久市,2010年度,"36,790","10,566",505
長野県 千曲市,2010年度,"18,226","11,429",45
長野県 東御市,2010年度,"8,024","7,036",86
長野県 安曇野市,2010年度,"30,096","17,186",208
長野県 小海町,2010年度,"1,698",849,19
長野県 川上村,2010年度,"3,227",172,38
長野県 南牧村,2010年度,"1,950",161,85
長野県 南相木村,2010年度,319,187,4
長野県 北相木村,2010年度,273,122,9
長野県 佐久穂町,2010年度,"3,138","2,754",35
長野県 軽井沢町,2010年度,"6,788","1,270",550
長野県 御代田町,2010年度,"3,537","3,625",110
長野県 立科町,2010年度,"2,547","1,727",24
長野県 青木村,2010年度,865,"1,220",19
長野県 長和町,2010年度,"1,790","1,314",12
長野県 下諏訪町,2010年度,"4,932","5,242",49
長野県 富士見町,2010年度,"5,034","2,264",472
長野県 原村,2010年度,"2,299","1,854",100
長野県 辰野町,2010年度,"5,274","4,644",30
長野県 箕輪町,2010年度,"7,490","5,408",8
長野県 飯島町,2010年度,"2,775","2,508",23
長野県 南箕輪村,2010年度,"2,768","4,487",22
長野県 中川村,2010年度,"1,420","1,427",8
長野県 宮田村,2010年度,"1,980","2,484",11
長野県 松川町,2010年度,"4,400","2,927",25
長野県 高森町,2010年度,"3,290","3,717",20
長野県 阿南町,2010年度,"1,793",632,21
長野県 阿智村,2010年度,"2,283","1,310",29
長野県 平谷村,2010年度,163,57,4
長野県 根羽村,2010年度,422,61,70
長野県 下條村,2010年度,"1,179",981,18
長野県 売木村,2010年度,269,61,14
長野県 天龍村,2010年度,511,183,12
長野県 泰阜村,2010年度,510,350,4
長野県 喬木村,2010年度,"1,527","2,010",8
長野県 豊丘村,2010年度,"1,689","2,076",5
長野県 大鹿村,2010年度,440,74,0
長野県 上松町,2010年度,"1,745",718,27
長野県 南木曽町,2010年度,"1,581",239,497
長野県 木祖村,2010年度,825,693,10
長野県 王滝村,2010年度,351,130,3
長野県 大桑村,2010年度,"1,368",446,125
長野県 木曽町,2010年度,"5,192","1,086",49
長野県 麻績村,2010年度,803,630,14
長野県 生坂村,2010年度,453,446,2
長野県 山形村,2010年度,"1,935","2,612",19
長野県 朝日村,2010年度,"1,074","1,462",7
長野県 筑北村,2010年度,"1,460","1,209",1
長野県 池田町,2010年度,"2,161","2,752",28
長野県 松川村,2010年度,"1,862","3,175",21
