area,year,inside,out_in,outside
茨城県 日立市,2000年度,"78,486",-,636
茨城県 土浦市,2000年度,"43,518",-,"6,343"
茨城県 古河市,2000年度,"39,823",-,"17,397"
茨城県 石岡市,2000年度,"22,975",-,"1,227"
茨城県 結城市,2000年度,"15,985","5,057","6,878"
茨城県 龍ケ崎市,2000年度,"17,121","9,455","9,769"
茨城県 下妻市,2000年度,"14,361",-,741
茨城県 常総市,2000年度,"20,617",-,"1,849"
茨城県 常陸太田市,2000年度,"15,666",-,101
茨城県 高萩市,2000年度,"9,636","6,732",191
茨城県 北茨城市,2000年度,"16,372","6,628","1,302"
茨城県 笠間市,2000年度,"22,540",-,933
茨城県 取手市,2000年度,"19,921",-,"25,630"
茨城県 牛久市,2000年度,"12,427","13,539","10,762"
茨城県 つくば市,2000年度,"62,925",-,"7,067"
茨城県 ひたちなか市,2000年度,"49,391","25,727",770
茨城県 鹿嶋市,2000年度,"23,074","6,538",912
茨城県 潮来市,2000年度,"8,206",-,"1,152"
茨城県 守谷市,2000年度,"9,895","7,145","7,569"
茨城県 常陸大宮市,2000年度,"15,267",-,814
茨城県 那珂市,2000年度,"12,167",-,213
茨城県 筑西市,2000年度,"35,895",-,"5,405"
茨城県 坂東市,2000年度,"19,935",-,"3,245"
茨城県 稲敷市,2000年度,"11,435",-,"3,090"
茨城県 かすみがうら市,2000年度,"10,682",-,816
茨城県 桜川市,2000年度,"15,059",-,"1,093"
茨城県 神栖市,2000年度,"31,562",-,"3,682"
茨城県 行方市,2000年度,"14,025",-,526
茨城県 鉾田市,2000年度,"18,145",-,170
茨城県 つくばみらい市,2000年度,"8,189",-,"4,058"
茨城県 小美玉市,2000年度,"15,381",-,615
茨城県 茨城町,2000年度,"9,666","8,835",130
茨城県 大洗町,2000年度,"6,415","4,014",51
茨城県 城里町,2000年度,"5,726",-,127
茨城県 東海村,2000年度,"9,044","8,156",177
茨城県 大子町,2000年度,"10,181","1,739",567
茨城県 美浦村,2000年度,"4,920","3,661",532
茨城県 阿見町,2000年度,"11,620","9,622","2,580"
茨城県 河内町,2000年度,"2,752","1,760","1,256"
茨城県 八千代町,2000年度,"7,064","5,123",626
茨城県 五霞町,2000年度,"2,823",340,"2,027"
茨城県 境町,2000年度,"9,691","3,700","1,335"
茨城県 利根町,2000年度,"2,703","2,350","4,661"
栃木県 宇都宮市,2000年度,"194,311",-,"5,571"
栃木県 足利市,2000年度,"63,182","4,736","15,766"
栃木県 栃木市,2000年度,"49,995",-,"5,061"
栃木県 佐野市,2000年度,"42,796",-,"4,759"
栃木県 鹿沼市,2000年度,"40,034",-,703
栃木県 日光市,2000年度,"35,362",-,601
栃木県 小山市,2000年度,"55,232","12,822","11,418"
栃木県 真岡市,2000年度,"30,532",-,"2,060"
栃木県 大田原市,2000年度,"27,171",-,370
栃木県 矢板市,2000年度,"11,629","7,035",199
栃木県 那須塩原市,2000年度,"37,554",-,"1,174"
栃木県 さくら市,2000年度,"10,893",-,225
栃木県 那須烏山市,2000年度,"10,393",-,172
栃木県 下野市,2000年度,"12,904",-,"2,212"
栃木県 上三川町,2000年度,"8,315","6,772",390
栃木県 益子町,2000年度,"7,496","5,450",337
栃木県 茂木町,2000年度,"5,998","3,021",311
栃木県 市貝町,2000年度,"3,152","3,425",67
栃木県 芳賀町,2000年度,"5,004","4,361",102
栃木県 壬生町,2000年度,"11,308","9,284",542
栃木県 野木町,2000年度,"5,283","2,266","5,779"
栃木県 塩谷町,2000年度,"3,957","3,392",37
栃木県 高根沢町,2000年度,"6,729","8,922",202
栃木県 那須町,2000年度,"10,319","3,236",454
栃木県 那珂川町,2000年度,"6,875",-,98
群馬県 前橋市,2000年度,"121,923",-,"3,298"
群馬県 高崎市,2000年度,"112,909",-,"7,094"
群馬県 桐生市,2000年度,"45,856",-,"2,567"
群馬県 伊勢崎市,2000年度,"59,195",-,"3,955"
群馬県 太田市,2000年度,"68,948",-,"7,567"
群馬県 沼田市,2000年度,"20,932",-,252
群馬県 館林市,2000年度,"26,177","8,306","6,170"
群馬県 渋川市,2000年度,"24,886",-,461
群馬県 藤岡市,2000年度,"21,908",-,"3,084"
群馬県 富岡市,2000年度,"19,977",-,297
群馬県 安中市,2000年度,"18,298",-,707
群馬県 みどり市,2000年度,"12,372",-,697
群馬県 榛東村,2000年度,"3,170","3,770",89
群馬県 吉岡町,2000年度,"3,019","5,353",108
群馬県 上野村,2000年度,"1,402",79,5
群馬県 神流町,2000年度,"1,105",-,55
群馬県 下仁田町,2000年度,"3,720","1,777",159
群馬県 南牧村,2000年度,735,672,16
群馬県 甘楽町,2000年度,"4,124","3,460",127
群馬県 中之条町,2000年度,"7,331",-,39
群馬県 長野原町,2000年度,"2,841",921,45
群馬県 嬬恋村,2000年度,"5,431",577,76
群馬県 草津町,2000年度,"4,234",323,14
群馬県 高山村,2000年度,"1,285",755,14
群馬県 東吾妻町,2000年度,"5,935",-,30
群馬県 片品村,2000年度,"2,665",394,31
群馬県 川場村,2000年度,"1,174",773,8
群馬県 昭和村,2000年度,"2,894","1,438",25
群馬県 みなかみ町,2000年度,"8,968",-,237
群馬県 玉村町,2000年度,"8,131","10,129",940
群馬県 板倉町,2000年度,"4,786","2,269","1,655"
群馬県 明和町,2000年度,"2,736","2,067","1,266"
群馬県 千代田町,2000年度,"2,764","2,682",686
群馬県 大泉町,2000年度,"14,056","6,704","1,855"
群馬県 邑楽町,2000年度,"6,289","6,337","1,821"
埼玉県 さいたま市,2000年度,"242,006",-,"191,555"
埼玉県 さいたま市 西区,2000年度,-,-,-
埼玉県 さいたま市 北区,2000年度,-,-,-
埼玉県 さいたま市 大宮区,2000年度,-,-,-
埼玉県 さいたま市 見沼区,2000年度,-,-,-
埼玉県 さいたま市 中央区,2000年度,-,-,-
